incident_id,title,description,signatures,source,source_url,annotation_confidence,annotated_by,date_annotated
39,Deepfake Obama Introduction of Deepfakes,"Deepfake Obama Introduction of Deepfakes University of Washington researchers made a deepfake of Obama, followed by Jordan Peele",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
82,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’ Facebook incorrectly labels content relating to an incident between #EndSARS protestors and the Nigerian army as misinformation.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
84,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks","Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks Avaaz, an international advocacy group, released a review of Facebook's misinformation identifying software showing that the labeling process failed to label 42% of false information posts, most surrounding COVID-19 and the 2020 USA Presidential Election.",S1,AIID,,1.0,keyword_classifier_v1,2026-06-20
86,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland Errors in Irish Department of Education's algorithm to calculate students’ Leaving Certificate exam grades resulted in thousands of inaccurate scores.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
115,Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias,"Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias A company's AI predicting a person's gender based on their name, email address, or username was reported by its users to show biased and inaccurate results.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
164,"Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use of MSI Metric","Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use of MSI Metric After the “News Feed” algorithm had been overhauled to boost engagement between friends and family in early 2018, its heavy weighting of re-shared content was alleged found by company researchers to have pushed content creators to reorient their posts towards outrage and sensationalism, causing a proliferation of misinformation, toxicity, and violent content.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
123,Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients,"Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients Epic System's sepsis prediction algorithms was shown by investigators at the University of Michigan Hospital to have high rates of false positives and false negatives, allegedly delivering inaccurate and irrelevant information on patients, contrasting sharply with their published claims.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
156,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts,"Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts Despite complaints notifying Amazon about the sale of various products that had been used to aid suicide attempts, its recommendation system reportedly continued selling them and suggesting their frequently bought-together items.",S6,AIID,,0.4,keyword_classifier_v1,2026-06-20
139,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation,"Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation Evidence of the ""filter-bubble effect"" were found by vaccine-misinformation researchers in Amazon's recommendations, where its algorithms presented users who performed actions on misinformative products with more misinfomative products.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
147,Hong Kong Bank Manager Swindled by Fraudsters Using Deepfaked Voice of Company Director,"Hong Kong Bank Manager Swindled by Fraudsters Using Deepfaked Voice of Company Director In early 2020, fraudsters reportedly allegedly deepfaked the voice of a company's director, demanding a bank manager in Hong Kong to authorize a $35M transfer.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
198,Deepfake Video of Ukrainian President Yielding to Russia Posted on Ukrainian Websites and Social Media,Deepfake Video of Ukrainian President Yielding to Russia Posted on Ukrainian Websites and Social Media  A quickly-debunked deepfaked video of the Ukrainian President Volodymyr Zelenskyy was posted on various Ukrainian websites and social media platforms encouraging Ukrainians to surrender to Russian forces during the Russia-Ukraine war.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
