incident_id,title,description,signatures,source,source_type,source_url,annotation_confidence,annotated_by,date_annotated
AVID-AVID-2022-R0001,bert-base-uncased: Gender Bias in Sentence Completion Tasks performed by bert-base-uncased using the HONEST metric,Sentence completions by bert-base-uncased were found to be significantly biased for one lexical category as defined by the HONEST hurtful sentence completion framework. Ethics E0101: Group fairness,S8,avid,incident,https://github.com/avidml/evaluating-LLMs/blob/main/notebooks/evaluation_honest.ipynb,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2022-R0002,xlm-roberta-base: Gender Bias in Sentence Completion Tasks performed by xlm-roberta-base using the HONEST score,Sentence completions by xlm-roberta-base were found to be significantly biased for one lexical category as defined by the HONEST hurtful sentence completion framework. Ethics E0101: Group fairness,S8,avid,incident,https://github.com/avidml/evaluating-LLMs/blob/main/notebooks/evaluation_honest.ipynb,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2022-R0003,"bert-base-uncased: Profession bias reinforcing gender stereotypes found in bert-base-uncased, as measured on the Winobias dataset",Filling in pronouns in sentences tagged with professions using bert-base-uncased were found to be significantly biased on the Winobias dataset. Ethics E0101: Group fairness,S8,avid,incident,https://github.com/avidml/evaluating-LLMs/blob/main/notebooks/evaluation_winobias.ipynb,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2022-R0004,"xlm-roberta-base: Profession bias reinforcing gender stereotypes found in xlm-roberta-base, as measured on the Winobias dataset",Filling in pronouns in sentences tagged with professions using xlm-roberta-base were found to be significantly biased on the Winobias dataset. Ethics E0101: Group fairness,S8,avid,incident,https://github.com/avidml/evaluating-LLMs/blob/main/notebooks/evaluation_winobias.ipynb,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2022-R0005,"EleutherAI/gpt-neo-125M: Demographic bias found in EleutherAI/gpt-neo-125M for multiple sensitive categories, as measured on prompts supplied in the BOLD dataset","When supplied with prompts from the BOLD dataset, toxicity scores for completed sentences tagged with the 'Islam' religion demonstrate a higher degree of toxicity than other religions. Ethics E0101: Group fairness","S6,S8",avid,incident,https://github.com/avidml/evaluating-LLMs/blob/main/notebooks/evaluation_bold.ipynb,0.8,keyword_classifier_v1,2026-06-25
AVID-AVID-2023-R0001,ChatGPT: ChatGPT fails to follow lexical constraints,"When prompting ChatGPT with lexical constraints, e.g. ""Generate a text without the letter ""e"" in it"", ChatGPT almost always fails to follow these constraints.  Performance P0204: Accuracy",S1,avid,incident,https://www.gwern.net/GPT-3#bpes,0.8,keyword_classifier_v1,2026-06-25
AVID-AVID-2023-R0002,ChatGPT: ChatGPT links wrong authors to papers,"I asked ChatGPT to recommend papers on explainability, privacy, adversarial ML, etc. It did recommend me a list of papers but it linked wrong authors to the papers and some of the papers didn't even exist (maybe it just made up those paper titles). For example- when prompted to recommend papers on explainability, it said the paper ""Explaining Explanations: An Overview of Interpretability of Machine Learning"" is by Zach Lipton, which in fact, is written by Gilpin et al. and does not have Zach as an author. This potentially hints at misinformation. It made similar mistakes when asking for papers on privacy, interpretability, and adversarial ML. 
 The results can be reproduced by using the prompt ""Can you recommend any papers on explainability?"". Ethics E0402: Generative Misinformation",S1,avid,incident,https://avidml.org/database/AVID-2023-R0002,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2023-R0003,ChatGPT: It is possible to make ChatGPT perform remote code execution just by asking politely,"Frameworks like langchain (Python) and boxcars.ai (Ruby) offer apps and scripts to directly execute queries through LLMs as a built-in feature. In the context of boxcars.ai, this makes it really easy to perform remote code execution or SQL injection. All you have to do is ask politely! 
See the references for more details. Ethics S0100: Software Vulnerability S0201: Model Compromise S0301: Information Leak S0202: Software Compromise S0601: Ingest Poisoning",S3,avid,incident,https://blog.luitjes.it/posts/injectgpt-most-polite-exploit-ever/,0.8,keyword_classifier_v1,2026-06-25
AVID-AVID-2025-R0002,distilbert-base-uncased-finetuned-sst-2-english: Geopolitical bias in sentiment analysis for neutral phrases,"As demonstrated in a tweet on March 19, 2022, which has since been incorporated into the model card as a known bias, the model provides biased analysis of sentiment for a neutral phrase “This film was filmed in [country]”. The tweet mentions “India” and “Iraq” explicitly.  Ethics E0100: Bias/Discrimination E0101: Group fairness",S8,avid,incident,https://x.com/aureliengeron/status/1505402534407524353,1.0,keyword_classifier_v1,2026-06-25
AVID-AVID-2025-R0003,gpt-4o-mini-2024-07-18: Evaluation of the AI system gpt-4o-mini-2024-07-18 on the agentharm benchmark using Inspect Evals,"The benchmark agentharm is implemented by Inspect Evals. More details are available [here](https://ukgovernmentbeis.github.io/inspect_evals/evals/safeguards/agentharm/).

The AI system gpt-4o-mini-2024-07-18 was evaluated on this benchmark.

## Measurement details

Scoring details are available [here](https://ukgovernmentbeis.github.io/inspect_evals/evals/safeguards/agentharm/). Performance P0400: Safety",S5,avid,incident,https://avidmvp.s3.amazonaws.com/2025-05-06T13-48-50+00-00_agentharm_abBKTwdDcG4T6LfHTvM4B6.eval,0.4,keyword_classifier_v1,2026-06-25
AVID-AVID-2025-R0004,gpt-4o-mini-2024-07-18: Evaluation of the AI system gpt-4o-mini-2024-07-18 on the wmdp_bio benchmark using Inspect Evals,"WMDP is a dataset of 3,668 multiple-choice questions surrounding hazardous knowledge in biosecurity, cybersecurity, and chemical security. WMDP serves as both a proxy evaluation for hazardous knowledge in large language models (LLMs) and a benchmark for unlearning methods to remove such knowledge.

The AI system gpt-4o-mini-2024-07-18 was evaluated on this benchmark.

## Measurement details

A simple accuracy is calculated over the datapoints. Performance P0402: Physical Safety",S5,avid,incident,https://avidmvp.s3.amazonaws.com/2025-05-07T01-29-11+00-00_wmdp-bio_jTAcBsBseLtuZnc9dWXQAC.eval,0.8,keyword_classifier_v1,2026-06-25
AVID-AVID-2025-R0005,gpt-4o-mini-2024-07-18: Evaluation of the AI system gpt-4o-mini-2024-07-18 on the wmdp_chem benchmark using Inspect Evals,"WMDP is a dataset of 3,668 multiple-choice questions surrounding hazardous knowledge in biosecurity, cybersecurity, and chemical security. WMDP serves as both a proxy evaluation for hazardous knowledge in large language models (LLMs) and a benchmark for unlearning methods to remove such knowledge.

The AI system gpt-4o-mini-2024-07-18 was evaluated on this benchmark.

## Measurement details

A simple accuracy is calculated over the datapoints. Performance P0402: Physical Safety",S5,avid,incident,https://avidmvp.s3.amazonaws.com/2025-05-07T01-31-22+00-00_wmdp-chem_3whTtj7mN6tHGT6SJeQC4s.eval,0.8,keyword_classifier_v1,2026-06-25
